station,raw_metar,datetime_scraped,observed,temperature,dewpoint,wind_speed,wind_direction,visibility,altimeter,flight_rules
SPQU,SPQU 120100Z 08006KT CAVOK 16/03 Q1029 RMK PP000,2025-05-12 01:48:50.506405,2025-05-12T01:00:00Z,16,3,6,80.0,9999,1029,VFR
SPJC,SPJC 120100Z 18006KT 9999 FEW005 BKN009 18/15 Q1013 BECMG SCT009 RMK PP000,2025-05-12 01:48:50.984181,2025-05-12T01:00:00Z,18,15,6,180.0,9999,1013,IFR
SPRU,SPRU 120100Z 14009KT 8000 FEW080 18/16 Q1012 RMK PP000,2025-05-12 01:48:51.406051,2025-05-12T01:00:00Z,18,16,9,140.0,8000,1012,MVFR
SPZO,SPZO 120130Z VRB02KT 9999 NSC 11/03 Q1035 NOSIG RMK BIRD HAZARD RWY 10/28,2025-05-12 01:48:51.870552,2025-05-12T01:30:00Z,11,3,2,,9999,1035,VFR
SPQU,SPQU 120200Z VRB02KT CAVOK 18/02 Q1029 RMK PP000,2025-05-12 02:10:15.875459,2025-05-12T02:00:00Z,18,2,2,,9999,1029,VFR
SPJC,SPJC 120200Z 16009KT 9999 SCT010 SCT015 18/16 Q1014 NOSIG RMK PP000,2025-05-12 02:10:16.348916,2025-05-12T02:00:00Z,18,16,9,160.0,9999,1014,VFR
SPRU,SPRU 120200Z 14006KT 8000 NSC 18/16 Q1013 RMK PP000,2025-05-12 02:10:16.778599,2025-05-12T02:00:00Z,18,16,6,140.0,8000,1013,MVFR
SPZO,SPZO 120200Z 10004KT 9999 NSC 10/04 Q1036 NOSIG RMK BIRD HAZARD RWY 10/28 PP000,2025-05-12 02:10:17.218514,2025-05-12T02:00:00Z,10,4,4,100.0,9999,1036,VFR
SPQU,SPQU 120200Z VRB02KT CAVOK 18/02 Q1029 RMK PP000,2025-05-12 02:20:18.161615,2025-05-12T02:00:00Z,18,2,2,,9999,1029,VFR
SPJC,SPJC 120200Z 16009KT 9999 SCT010 SCT015 18/16 Q1014 NOSIG RMK PP000,2025-05-12 02:20:18.637248,2025-05-12T02:00:00Z,18,16,9,160.0,9999,1014,VFR
SPRU,SPRU 120200Z 14006KT 8000 NSC 18/16 Q1013 RMK PP000,2025-05-12 02:20:19.064660,2025-05-12T02:00:00Z,18,16,6,140.0,8000,1013,MVFR
SPZO,SPZO 120200Z 10004KT 9999 NSC 10/04 Q1036 NOSIG RMK BIRD HAZARD RWY 10/28 PP000,2025-05-12 02:20:19.502623,2025-05-12T02:00:00Z,10,4,4,100.0,9999,1036,VFR
