station,datetime,temperature_2m,dew_point_2m,cloudcover,windspeed_10m,windgusts_10m,visibility,precipitation,pressure_msl
SPHZ,2025-05-14 00:00:00,16.7,5.3,82,3.0,9.7,24140.0,0.0,1015.9
SPHZ,2025-05-14 01:00:00,16.4,5.4,50,3.2,7.9,24140.0,0.0,1016.1
SPHZ,2025-05-14 02:00:00,15.9,5.2,81,4.0,6.8,24140.0,0.0,1016.1
SPHZ,2025-05-14 03:00:00,15.5,4.8,96,5.6,10.4,24140.0,0.0,1015.7
SPHZ,2025-05-14 04:00:00,15.4,4.7,74,5.8,11.2,24140.0,0.0,1015.3
SPHZ,2025-05-14 05:00:00,15.1,4.5,15,6.3,12.6,24140.0,0.0,1015.3
SPHZ,2025-05-14 06:00:00,15.2,3.9,13,8.1,16.9,24140.0,0.0,1015.7
SPHZ,2025-05-14 07:00:00,15.7,4.4,0,8.0,16.6,24140.0,0.0,1016.3
SPHZ,2025-05-14 08:00:00,17.8,7.8,0,2.2,16.6,24140.0,0.0,1017.0
SPHZ,2025-05-14 09:00:00,19.3,7.4,0,5.4,16.2,24140.0,0.0,1018.5
SPHZ,2025-05-14 10:00:00,20.4,8.7,0,8.4,19.4,24140.0,0.0,1018.5
SPHZ,2025-05-14 11:00:00,20.5,11.5,5,12.9,28.1,24140.0,0.0,1018.4
SPHZ,2025-05-14 12:00:00,19.6,13.1,46,12.8,29.9,24140.0,0.0,1018.4
SPHZ,2025-05-14 13:00:00,19.5,13.5,69,13.3,29.5,24140.0,0.0,1017.5
SPHZ,2025-05-14 14:00:00,18.8,13.6,70,11.8,28.8,24140.0,0.0,1016.8
SPHZ,2025-05-14 15:00:00,17.7,13.8,88,11.1,26.3,24140.0,0.0,1016.4
SPHZ,2025-05-14 16:00:00,17.2,13.7,88,8.5,24.5,24140.0,0.0,1016.2
SPHZ,2025-05-14 17:00:00,16.3,13.8,90,6.4,20.2,24140.0,0.0,1016.6
SPHZ,2025-05-14 18:00:00,15.3,13.5,85,3.2,14.0,24140.0,0.0,1016.7
SPHZ,2025-05-14 19:00:00,14.9,13.3,73,1.9,7.9,24140.0,0.0,1017.1
SPHZ,2025-05-14 20:00:00,14.4,13.1,65,1.8,4.3,24140.0,0.0,1017.7
SPHZ,2025-05-14 21:00:00,14.3,12.2,43,1.8,4.0,24140.0,0.0,1018.4
SPHZ,2025-05-14 22:00:00,14.2,11.2,0,2.9,5.4,24140.0,0.0,1018.6
SPHZ,2025-05-14 23:00:00,14.6,10.0,0,5.6,10.8,24140.0,0.0,1018.1
SPHZ,2025-05-15 00:00:00,15.3,9.0,0,6.8,14.0,22620.0,0.0,1017.3
SPHZ,2025-05-15 01:00:00,16.0,8.5,16,3.8,15.1,24140.0,0.0,1016.8
SPHZ,2025-05-15 02:00:00,15.5,8.3,7,2.7,10.8,20520.0,0.0,1016.8
SPHZ,2025-05-15 03:00:00,15.5,7.8,34,4.1,13.7,22080.0,0.0,1016.6
SPHZ,2025-05-15 04:00:00,15.1,7.4,40,4.0,14.8,24140.0,0.0,1016.6
SPHZ,2025-05-15 05:00:00,15.0,7.0,29,5.5,18.0,24140.0,0.0,1016.5
SPHZ,2025-05-15 06:00:00,15.1,6.4,36,5.8,18.4,24140.0,0.0,1016.5
SPHZ,2025-05-15 07:00:00,15.6,6.6,42,6.4,19.8,24140.0,0.0,1017.0
SPHZ,2025-05-15 08:00:00,17.3,9.0,29,3.4,19.8,24140.0,0.0,1017.9
SPHZ,2025-05-15 09:00:00,18.7,9.8,3,6.2,23.0,24140.0,0.0,1019.3
SPHZ,2025-05-15 10:00:00,19.1,11.6,35,11.5,26.6,24140.0,0.0,1019.7
SPHZ,2025-05-15 11:00:00,18.7,12.9,69,9.6,27.0,24140.0,0.0,1019.6
SPHZ,2025-05-15 12:00:00,18.7,12.9,79,11.7,26.3,24140.0,0.0,1019.1
SPHZ,2025-05-15 13:00:00,18.4,12.6,87,11.3,25.9,24140.0,0.0,1018.4
SPHZ,2025-05-15 14:00:00,17.7,12.8,90,10.1,25.2,21420.0,0.0,1017.5
SPHZ,2025-05-15 15:00:00,17.5,13.2,81,8.3,23.0,24140.0,0.0,1016.7
SPHZ,2025-05-15 16:00:00,16.6,13.7,79,7.7,20.5,24140.0,0.0,1016.6
SPHZ,2025-05-15 17:00:00,15.6,14.3,80,8.0,21.2,22160.0,0.0,1017.2
SPHZ,2025-05-15 18:00:00,15.0,14.3,100,4.6,17.3,14360.0,0.0,1017.6
SPHZ,2025-05-15 19:00:00,14.7,14.2,99,2.3,14.4,22340.0,0.0,1018.2
SPHZ,2025-05-15 20:00:00,14.4,14.1,79,1.9,17.3,23480.0,0.0,1019.1
SPHZ,2025-05-15 21:00:00,14.1,14.0,94,1.3,19.1,23960.0,0.0,1019.7
SPHZ,2025-05-15 22:00:00,13.9,13.8,94,2.9,20.5,19460.0,0.0,1019.9
SPHZ,2025-05-15 23:00:00,14.0,13.2,79,3.4,20.9,13320.0,0.0,1019.7
SPHZ,2025-05-16 00:00:00,14.0,13.0,88,3.2,20.9,14020.0,0.0,1019.3
SPHZ,2025-05-16 01:00:00,13.9,12.5,69,2.7,20.9,13220.0,0.0,1018.9
SPHZ,2025-05-16 02:00:00,13.5,12.4,61,1.3,20.9,19600.0,0.0,1018.5
SPHZ,2025-05-16 03:00:00,12.8,12.5,58,0.7,18.7,22600.0,0.0,1018.3
SPHZ,2025-05-16 04:00:00,12.8,12.0,40,3.4,19.4,24140.0,0.0,1018.5
SPHZ,2025-05-16 05:00:00,13.9,10.7,27,4.0,23.4,24140.0,0.0,1018.5
SPHZ,2025-05-16 06:00:00,13.5,10.3,26,2.1,22.0,24140.0,0.0,1018.9
SPHZ,2025-05-16 07:00:00,13.9,10.3,16,3.4,21.2,24140.0,0.0,1019.3
SPHZ,2025-05-16 08:00:00,15.8,11.4,3,2.8,23.0,24140.0,0.0,1020.2
SPHZ,2025-05-16 09:00:00,17.3,12.7,38,6.4,27.4,24140.0,0.0,1021.2
SPHZ,2025-05-16 10:00:00,17.5,13.7,73,10.8,28.1,24140.0,0.0,1021.3
SPHZ,2025-05-16 11:00:00,17.8,13.9,72,11.0,28.1,24140.0,0.0,1020.8
SPHZ,2025-05-16 12:00:00,17.6,14.5,97,12.6,27.7,23760.0,0.0,1020.3
SPHZ,2025-05-16 13:00:00,17.0,14.6,100,12.1,27.7,21200.0,0.0,1019.3
SPHZ,2025-05-16 14:00:00,15.9,14.7,100,10.8,27.0,20240.0,0.0,1018.5
SPHZ,2025-05-16 15:00:00,15.6,14.6,100,9.8,23.4,20220.0,0.0,1017.8
SPHZ,2025-05-16 16:00:00,14.8,14.7,100,9.5,22.0,16980.0,0.0,1017.8
SPHZ,2025-05-16 17:00:00,14.4,14.4,100,10.0,21.2,18500.0,0.0,1018.2
SPHZ,2025-05-16 18:00:00,14.0,14.0,100,8.2,21.2,12720.0,0.1,1018.7
SPHZ,2025-05-16 19:00:00,13.6,13.3,100,5.0,17.3,21160.0,0.0,1019.4
SPHZ,2025-05-16 20:00:00,13.4,13.1,93,1.9,15.1,21800.0,0.0,1020.4
SPHZ,2025-05-16 21:00:00,13.2,12.9,70,2.4,13.3,21040.0,0.0,1021.3
SPHZ,2025-05-16 22:00:00,13.0,12.4,61,2.8,11.9,23120.0,0.0,1021.4
SPHZ,2025-05-16 23:00:00,12.3,11.7,45,3.1,11.2,23060.0,0.0,1021.3
SPHZ,2025-05-17 00:00:00,12.0,11.0,37,3.1,10.4,24140.0,0.0,1021.3
SPHZ,2025-05-17 01:00:00,11.7,10.5,0,4.2,10.4,24140.0,0.0,1020.8
