station,datetime,wind_dir,wind_speed,visibility,clouds,phenomena,intensity_prefix
SPQU,2025-05-12 01:48:50.506405,080,6,,,,
SPJC,2025-05-12 01:48:50.984181,180,6,9999.0,FEW005;BKN009;SCT009,,
SPRU,2025-05-12 01:48:51.406051,140,9,8000.0,FEW080,,
SPZO,2025-05-12 01:48:51.870552,VRB,2,9999.0,,,
SPQU,2025-05-12 02:10:15.875459,VRB,2,,,,
SPJC,2025-05-12 02:10:16.348916,160,9,9999.0,SCT010;SCT015,,
SPRU,2025-05-12 02:10:16.778599,140,6,8000.0,,,
SPZO,2025-05-12 02:10:17.218514,100,4,9999.0,,,
SPQU,2025-05-12 02:20:18.161615,VRB,2,,,,
SPJC,2025-05-12 02:20:18.637248,160,9,9999.0,SCT010;SCT015,,
SPRU,2025-05-12 02:20:19.064660,140,6,8000.0,,,
SPZO,2025-05-12 02:20:19.502623,100,4,9999.0,,,
SPQU,2025-05-12 02:30:20.431438,VRB,2,,,,
SPJC,2025-05-12 02:30:20.851301,160,9,9999.0,SCT010;SCT015,,
SPRU,2025-05-12 02:30:21.265536,140,6,8000.0,,,
SPZO,2025-05-12 02:30:21.820305,VRB,2,9999.0,,,
SPQU,2025-05-12 02:40:22.785972,VRB,2,,,,
SPJC,2025-05-12 02:40:23.243013,160,9,9999.0,SCT010;SCT015,,
SPRU,2025-05-12 02:40:23.711092,140,6,8000.0,,,
SPZO,2025-05-12 02:40:24.161207,VRB,2,9999.0,,,
SPQU,2025-05-12 02:50:25.072909,VRB,2,,,,
SPJC,2025-05-12 02:50:25.512741,160,9,9999.0,SCT010;SCT015,,
SPRU,2025-05-12 02:50:25.995128,140,6,8000.0,,,
SPZO,2025-05-12 02:50:26.408024,VRB,2,9999.0,,,
SPQU,2025-05-12 03:00:27.310483,VRB,2,,,,
SPJC,2025-05-12 03:00:27.735539,160,9,9999.0,SCT010;SCT015,,
SPRU,2025-05-12 03:00:28.217569,140,6,8000.0,,,
SPZO,2025-05-12 03:00:28.639375,VRB,2,9999.0,,,
SPQU,2025-05-12 03:10:29.558566,030,5,9999.0,SCT120,,
SPJC,2025-05-12 03:10:30.113044,150,8,9999.0,SCT010,,
SPRU,2025-05-12 03:10:30.556671,140,5,6000.0,,,
SPZO,2025-05-12 03:10:30.994395,270,4,9999.0,,,
SPQU,2025-05-12 03:20:31.892001,030,5,9999.0,SCT120,,
SPJC,2025-05-12 03:20:32.372908,150,8,9999.0,SCT010,,
SPRU,2025-05-12 03:20:32.860941,140,5,6000.0,,,
SPZO,2025-05-12 03:20:33.288253,270,4,9999.0,,,
SPQU,2025-05-12 03:30:34.219876,030,5,9999.0,SCT120,,
SPJC,2025-05-12 03:30:34.647579,150,8,9999.0,SCT010,,
SPRU,2025-05-12 03:30:35.068381,140,5,6000.0,,,
SPZO,2025-05-12 03:30:35.677056,280,5,9999.0,,,
SPQU,2025-05-12 03:40:36.573481,030,5,9999.0,SCT120,,
SPJC,2025-05-12 03:40:37.036637,150,8,9999.0,SCT010,,
SPRU,2025-05-12 03:40:37.466586,140,5,6000.0,,,
SPZO,2025-05-12 03:40:37.888523,280,5,9999.0,,,
SPQU,2025-05-12 03:50:38.822461,030,5,9999.0,SCT120,,
SPJC,2025-05-12 03:50:39.287158,150,8,9999.0,SCT010,,
SPRU,2025-05-12 03:50:39.707372,140,5,6000.0,,,
SPZO,2025-05-12 03:50:40.188286,280,5,9999.0,,,
SPQU,2025-05-12 04:00:41.136405,030,5,9999.0,SCT120,,
SPJC,2025-05-12 04:00:41.596428,150,8,9999.0,SCT010,,
SPRU,2025-05-12 04:00:42.100618,140,5,6000.0,,,
SPZO,2025-05-12 04:00:42.574237,280,5,9999.0,,,
SPQU,2025-05-12 04:10:43.498805,350,2,9999.0,FEW120,,
SPJC,2025-05-12 04:10:44.034033,170,6,8000.0,FEW010,,
SPRU,2025-05-12 04:10:44.517684,130,5,5000.0,,BR,
SPZO,2025-05-12 04:10:44.943545,VRB,2,9999.0,SCT050,,
SPQU,2025-05-12 04:20:45.832505,350,2,9999.0,FEW120,,
SPJC,2025-05-12 04:20:46.321530,170,6,8000.0,FEW010,,
SPRU,2025-05-12 04:20:46.821680,130,5,5000.0,,BR,
SPZO,2025-05-12 04:20:47.241750,VRB,2,9999.0,SCT050,,
SPQU,2025-05-12 04:30:48.217183,350,2,9999.0,FEW120,,
SPJC,2025-05-12 04:30:48.820904,170,6,8000.0,FEW010,,
SPRU,2025-05-12 04:30:49.256811,130,5,5000.0,,BR,
SPZO,2025-05-12 04:30:49.979700,VRB,2,9999.0,SCT050,,
SPQU,2025-05-12 04:40:50.899433,350,2,9999.0,FEW120,,
SPJC,2025-05-12 04:40:51.386634,170,6,8000.0,FEW010,,
SPRU,2025-05-12 04:40:51.883706,130,5,5000.0,,BR,
SPZO,2025-05-12 04:40:52.325183,VRB,2,9999.0,SCT050,,
SPQU,2025-05-12 04:50:53.240913,350,2,9999.0,FEW120,,
SPJC,2025-05-12 04:50:53.701890,170,6,8000.0,FEW010,,
SPRU,2025-05-12 04:50:54.204474,130,5,5000.0,,BR,
SPZO,2025-05-12 04:50:54.653649,VRB,2,9999.0,SCT050,,
SPQU,2025-05-14 03:20:26.201359,020,3,,,,
SPJC,2025-05-14 03:20:26.692908,170,9,8000.0,BKN008,,
SPRU,2025-05-14 03:20:27.214246,150,4,3000.0,,BR,
SPZO,2025-05-14 03:20:27.707325,000,0,9999.0,,,
SPQU,2025-05-14 05:59:09.294720,040,4,,,,
SPRU,2025-05-14 05:59:09.788184,140,3,5000.0,,BR,
SPZO,2025-05-14 05:59:10.235754,060,2,9999.0,FEW080,,
SPJR,2025-05-14 05:59:11.775592,110,3,9999.0,FEW020,,
SPQU,2025-05-14 05:59:39.494574,040,4,,,,
SPRU,2025-05-14 05:59:40.009148,140,3,5000.0,,BR,
SPZO,2025-05-14 05:59:40.448521,060,2,9999.0,FEW080,,
SPJR,2025-05-14 05:59:41.120395,110,3,9999.0,FEW020,,
SPQU,2025-05-14 06:01:46.427371,040,4,,,,
SPRU,2025-05-14 06:01:46.864893,140,3,5000.0,,BR,
SPZO,2025-05-14 06:01:47.307559,060,2,9999.0,FEW080,,
SPJR,2025-05-14 06:01:47.848649,110,3,9999.0,FEW020,,
SPQU,2025-05-14 06:34:10.465556,010,4,,,,
SPRU,2025-05-14 06:34:10.925530,120,6,4000.0,,BR,
SPZO,2025-05-14 06:34:11.363489,090,1,9999.0,,,
SPJR,2025-05-14 06:34:12.046428,110,3,9999.0,FEW020,,
SPQU,2025-05-14 06:37:04.275493,010,4,,,,
SPRU,2025-05-14 06:37:04.775842,120,6,4000.0,,BR,
SPZO,2025-05-14 06:37:05.220407,090,1,9999.0,,,
SPJR,2025-05-14 06:37:05.758247,110,3,9999.0,FEW020,,
SPQU,2025-05-14 07:37:13.163447,030,4,,,,
SPRU,2025-05-14 07:37:13.642734,120,4,4000.0,SCT012,BR,
SPZO,2025-05-14 07:37:14.104688,300,2,9999.0,,,
SPJR,2025-05-14 07:37:14.812393,110,3,9999.0,FEW020,,
SPQU,2025-05-14 08:37:22.165255,030,4,,,,
SPRU,2025-05-14 08:37:22.654708,110,4,3000.0,,BR,
SPZO,2025-05-14 08:37:23.090459,100,2,9999.0,,,
SPJR,2025-05-14 08:37:23.608874,110,3,9999.0,FEW020,,
SPQU,2025-05-14 09:37:31.054107,010,5,,,,
SPRU,2025-05-14 09:37:31.534901,120,3,3000.0,,BR,
SPZO,2025-05-14 09:37:31.970151,110,2,9999.0,FEW043,,
SPJR,2025-05-14 09:37:32.523233,110,3,9999.0,FEW020,,
SPQU,2025-05-14 10:37:39.909319,040,4,,,,
SPRU,2025-05-14 10:37:40.395750,140,3,3000.0,,BR,
SPZO,2025-05-14 10:37:40.841120,000,0,9999.0,FEW043;SCT080,,
SPJR,2025-05-14 10:37:41.287864,VRB,2,,,,
SPQU,2025-05-14 11:37:48.792071,360,5,,,,
SPRU,2025-05-14 11:37:49.221885,170,3,1600.0,,BR,
SPZO,2025-05-14 11:37:49.645797,110,3,9999.0,FEW043;SCT080,,
SPJR,2025-05-14 11:37:50.083033,VRB,2,,,,
SPQU,2025-05-14 12:37:57.630112,050,6,,,,
SPRU,2025-05-14 12:37:58.086758,150,3,2000.0,,BR,
SPZO,2025-05-14 12:37:58.572082,VRB,2,9999.0,FEW050,,
SPJR,2025-05-14 12:37:59.017454,VRB,1,,,,
SPQU,2025-05-14 13:38:06.559776,VRB,2,,,,
SPRU,2025-05-14 13:38:07.000230,150,6,4000.0,BKN040,BR,
SPZO,2025-05-14 13:38:07.432481,VRB,2,9999.0,,,
SPJR,2025-05-14 13:38:07.866813,VRB,1,,,,
SPQU,2025-05-14 19:57:12.461868,240,9,,,,
SPRU,2025-05-14 19:57:12.941807,160,10,8000.0,FEW060,,
SPZO,2025-05-14 19:57:13.375936,290,5,9999.0,FEW060,,
SPJR,2025-05-14 19:57:13.850182,150,10,9999.0,SCT020,,
SPQU,2025-05-14 20:57:22.339247,260,9,,,,
SPRU,2025-05-14 20:57:22.831285,160,9,8000.0,,,
SPZO,2025-05-14 20:57:23.293211,VRB,2,9999.0,FEW060,,
SPJR,2025-05-14 20:57:23.734197,070,4,9999.0,SCT020,,
SPQU,2025-05-14 21:57:31.210891,250,7,,,,
SPRU,2025-05-14 21:57:31.692059,160,10,8000.0,,,
SPZO,2025-05-14 21:57:32.136975,040,5,9999.0,FEW060,,
SPJR,2025-05-14 21:57:32.569116,170,8,9999.0,SCT020,,
SPQU,2025-05-14 22:57:39.996415,280,6,,,,
SPRU,2025-05-14 22:57:40.502541,160,9,7000.0,,,
SPZO,2025-05-14 22:57:40.925170,070,4,9999.0,,,
SPJR,2025-05-14 22:57:41.431160,120,6,9999.0,FEW020,,
